varTN,year,month,ym,blank,emp,pop,emp_rate,varS,lfS,empS,popS,emp_rateS
LASST47000005,2000,1,2000.041667,M01,2761575,3646525,0.757316898,LASRD93000006,49659644,46898069,,
LASST47000005,2000,2,2000.125,M02,2767298,3660851,0.755916589,LASRD93000006,49755994,46988696,,
LASST47000005,2000,3,2000.208333,M03,2768842,3729760,0.742364656,LASRD93000006,49792061,47023219,,
LASST47000005,2000,4,2000.291667,M04,2766150,3690627,0.749506791,LASRD93000006,49765892,46999742,,
LASST47000005,2000,5,2000.375,M05,2760617,3681613,0.749838997,LASRD93000006,49701974,46941357,,
LASST47000005,2000,6,2000.458333,M06,2754294,3691863,0.746044477,LASRD93000006,49626454,46872160,,
LASST47000005,2000,7,2000.541667,M07,2749662,3634798,0.756482754,LASRD93000006,49580849,46831187,,
LASST47000005,2000,8,2000.625,M08,2748747,3636936,0.755786464,LASRD93000006,49589692,46840945,,
LASST47000005,2000,9,2000.708333,M09,2752391,3613991,0.761593208,LASRD93000006,49668058,46915667,,
LASST47000005,2000,10,2000.791667,M10,2759939,3663053,0.753453199,LASRD93000006,49808963,47049024,,
LASST47000005,2000,11,2000.875,M11,2769632,3697933,0.748967599,LASRD93000006,49993479,47223847,,
LASST47000005,2000,12,2000.958333,M12,2780768,3711833,0.749163015,LASRD93000006,50189401,47408633,,
LASST47000005,2001,13,2001.041667,M01,2790587,3689050,0.75645139,LASRD93000006,50368647,47578060,,
LASST47000005,2001,14,2001.125,M02,2794920,3662235,0.763173308,LASRD93000006,50505571,47710651,,
LASST47000005,2001,15,2001.208333,M03,2790184,3712400,0.751584959,LASRD93000006,50579927,47789743,,
LASST47000005,2001,16,2001.291667,M04,2775582,3717300,0.746666129,LASRD93000006,50104724,47329142,,
LASST47000005,2001,17,2001.375,M05,2753838,3698860,0.74450993,LASRD93000006,50081753,47327915,,
LASST47000005,2001,18,2001.458333,M06,2729844,3745611,0.728811401,LASRD93000006,49842679,47112835,,
LASST47000005,2001,19,2001.541667,M07,2708973,3729264,0.726409554,LASRD93000006,49859792,47150819,,
LASST47000005,2001,20,2001.625,M08,2694512,3685017,0.731207482,LASRD93000006,49926208,47231696,,
LASST47000005,2001,21,2001.708333,M09,2688107,3690177,0.72844934,LASRD93000006,50018927,47330820,,
LASST47000005,2001,22,2001.791667,M10,2688909,3738172,0.719311203,LASRD93000006,50152614,47463705,,
LASST47000005,2001,23,2001.875,M11,2693914,3730998,0.722035766,LASRD93000006,50293470,47599556,,
LASST47000005,2001,24,2001.958333,M12,2699987,3806819,0.709250164,LASRD93000006,50422887,47722900,,
LASST47000005,2002,25,2002.041667,M01,2705640,3782670,0.715272546,LASRD93000006,50541154,47835514,,
LASST47000005,2002,26,2002.125,M02,2711214,3776202,0.717973774,LASRD93000006,50614361,47903147,,
LASST47000005,2002,27,2002.208333,M03,2715522,3812814,0.712209408,LASRD93000006,50654508,47938986,,
LASST47000005,2002,28,2002.291667,M04,2718378,3764454,0.72211747,LASRD93000006,50652424,47934046,,
LASST47000005,2002,29,2002.375,M05,2720343,3793609,0.717085762,LASRD93000006,50626524,47906181,,
LASST47000005,2002,30,2002.458333,M06,2722709,3835789,0.709817198,LASRD93000006,50611125,47888416,,
LASST47000005,2002,31,2002.541667,M07,2726018,3834537,0.710911904,LASRD93000006,50619186,47893168,,
LASST47000005,2002,32,2002.625,M08,2730105,3773021,0.723585954,LASRD93000006,50654913,47924808,,
LASST47000005,2002,33,2002.708333,M09,2734611,3758566,0.727567641,LASRD93000006,50722420,47987809,,
LASST47000005,2002,34,2002.791667,M10,2738503,3729299,0.734321115,LASRD93000006,50820616,48082113,,
LASST47000005,2002,35,2002.875,M11,2741658,3717592,0.73748222,LASRD93000006,50930383,48188725,,
LASST47000005,2002,36,2002.958333,M12,2743954,3769711,0.727895056,LASRD93000006,51028096,48284142,,
LASST47000005,2003,37,2003.041667,M01,2745603,3856550,0.711932427,LASRD93000006,51117688,48372085,,
LASST47000005,2003,38,2003.125,M02,2746314,3885166,0.706871727,LASRD93000006,51197965,48451651,,
LASST47000005,2003,39,2003.208333,M03,2745030,3813932,0.719737531,LASRD93000006,51254185,48509155,,
LASST47000005,2003,40,2003.291667,M04,2740711,3879852,0.706395759,LASRD93000006,51259832,48519121,,
LASST47000005,2003,41,2003.375,M05,2733692,3886452,0.703390136,LASRD93000006,51223205,48489513,,
LASST47000005,2003,42,2003.458333,M06,2726281,3891336,0.700602826,LASRD93000006,51171677,48445396,,
