Month,"job openings"
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,87
2009-02,56
2009-03,56
2009-04,56
2009-05,68
2009-06,67
2009-07,62
2009-08,64
2009-09,66
2009-10,72
2009-11,77
2009-12,83
2010-01,89
2010-02,100
2010-03,99
2010-04,99
2010-05,99
2010-06,91
2010-07,85
2010-08,85
2010-09,89
2010-10,61
2010-11,59
2010-12,59
2011-01,59
2011-02,35
2011-03,48
2011-04,55
2011-05,45
2011-06,62
2011-07,60
2011-08,56
2011-09,50
2011-10,49
2011-11,46
2011-12,45
2012-01,40
2012-02,56
2012-03,71
2012-04,72
2012-05,83
2012-06,62
2012-07,59
2012-08,43
2012-09,46
2012-10,52
2012-11,65
2012-12,39
2013-01,45
2013-02,39
2013-03,52
2013-04,63
2013-05,61
