Month,"job openings"
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,100
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,71
2006-02,61
2006-03,61
2006-04,61
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,79
2007-10,52
2007-11,52
2007-12,44
2008-01,44
2008-02,44
2008-03,44
2008-04,37
2008-05,37
2008-06,37
2008-07,51
2008-08,44
2008-09,26
2008-10,26
2008-11,39
2008-12,29
2009-01,46
2009-02,33
2009-03,30
2009-04,28
2009-05,28
2009-06,33
2009-07,46
2009-08,26
2009-09,26
2009-10,55
2009-11,58
2009-12,60
2010-01,62
2010-02,68
2010-03,48
2010-04,47
2010-05,53
2010-06,58
2010-07,61
2010-08,40
2010-09,40
2010-10,39
2010-11,36
2010-12,34
2011-01,34
2011-02,32
2011-03,33
2011-04,32
2011-05,33
2011-06,42
2011-07,39
2011-08,33
2011-09,35
2011-10,34
2011-11,40
2011-12,32
2012-01,32
2012-02,27
2012-03,32
2012-04,45
2012-05,56
2012-06,44
2012-07,40
2012-08,41
2012-09,31
2012-10,28
2012-11,41
2012-12,30
2013-01,34
2013-02,35
2013-03,34
2013-04,41
2013-05,39
